Accession	Description	Organism	Length
A0A7L0S9Q9	BICD2 protein (Fragment) OS=Glaucidium brasilianum OX=78217 GN=Bicd2 PE=3 SV=1	Glaucidium brasilianum	842
A0A7K8JVE4	BICD2 protein (Fragment) OS=Lophotis ruficrista OX=172689 GN=Bicd2 PE=3 SV=1	Lophotis ruficrista	842
A0A493TRU9	BICD cargo adaptor 2 OS=Anas platyrhynchos platyrhynchos OX=8840 GN=BICD2 PE=3 SV=1	Anas platyrhynchos platyrhynchos	862
A0A0Q3R3V0	Protein bicaudal D 2 isoform X1 OS=Amazona aestiva OX=12930 GN=AAES_96538 PE=3 SV=1	Amazona aestiva	845
A0A7K9B8L2	BICD2 protein (Fragment) OS=Dromaius novaehollandiae OX=8790 GN=Bicd2 PE=3 SV=1	Dromaius novaehollandiae	846
A0A493TDC9	BICD cargo adaptor 2 OS=Anas platyrhynchos platyrhynchos OX=8840 GN=BICD2 PE=3 SV=1	Anas platyrhynchos platyrhynchos	878
A0A7L2CG22	BICD2 protein (Fragment) OS=Alaudala cheleensis OX=670337 GN=Bicd2 PE=3 SV=1	Alaudala cheleensis	846
A0A7K7RXK7	BICD2 protein (Fragment) OS=Nesospiza acunhae OX=381881 GN=Bicd2 PE=3 SV=1	Nesospiza acunhae	846
A0A7L1DY18	BICD2 protein (Fragment) OS=Oenanthe oenanthe OX=279966 GN=Bicd2 PE=3 SV=1	Oenanthe oenanthe	846
A0A8C6JKB6	Uncharacterized protein OS=Melopsittacus undulatus OX=13146 GN=LOC101876954 PE=3 SV=1	Melopsittacus undulatus	814
A0A851Y686	BICD2 protein (Fragment) OS=Eolophus roseicapilla OX=176039 GN=Bicd2 PE=3 SV=1	Eolophus roseicapilla	842
A0A7K5EQQ5	BICD2 protein (Fragment) OS=Polioptila caerulea OX=66707 GN=Bicd2 PE=3 SV=1	Polioptila caerulea	846
A0A8V1AAE9	BICD cargo adaptor 2 OS=Gallus gallus OX=9031 GN=BICD2 PE=1 SV=1	Gallus gallus	800
A0A7K5A5U2	BICD2 protein (Fragment) OS=Centropus unirufus OX=1118519 GN=Bicd2 PE=3 SV=1	Centropus unirufus	861
A0A851VXT8	BICD2 protein (Fragment) OS=Copsychus sechellarum OX=797021 GN=Bicd2 PE=3 SV=1	Copsychus sechellarum	846
A0A7K8GCM9	BICD2 protein (Fragment) OS=Orthonyx spaldingii OX=38397 GN=Bicd2 PE=3 SV=1	Orthonyx spaldingii	846
A0A835TPE8	BICD2 protein OS=Lamprotornis superbus OX=245042 GN=IHE44_010708 PE=3 SV=1	Lamprotornis superbus	807
A0A7K7VXC5	BICD2 protein (Fragment) OS=Nothocercus julius OX=2585813 GN=Bicd2 PE=3 SV=1	Nothocercus julius	846
A0A7K7J279	BICD2 protein (Fragment) OS=Loxia curvirostra OX=64802 GN=Bicd2 PE=3 SV=1	Loxia curvirostra	846
A0A7K7UWE2	BICD2 protein (Fragment) OS=Eudromia elegans OX=8805 GN=Bicd2 PE=3 SV=1	Eudromia elegans	848
A0A7L1RR32	BICD2 protein (Fragment) OS=Locustella ochotensis OX=187437 GN=Bicd2 PE=3 SV=1	Locustella ochotensis	853
A0A7L1HCU2	BICD2 protein (Fragment) OS=Nycticryphes semicollaris OX=227226 GN=Bicd2 PE=3 SV=1	Nycticryphes semicollaris	858
A0A3M0JMG5	BICD2 protein OS=Hirundo rustica rustica OX=333673 GN=DUI87_23316 PE=3 SV=1	Hirundo rustica rustica	837
A0A7L1QX42	BICD2 protein (Fragment) OS=Cisticola juncidis OX=52622 GN=Bicd2 PE=3 SV=1	Cisticola juncidis	844
A0A6J1UZR7	Protein bicaudal D homolog 2 isoform X3 OS=Notechis scutatus OX=8663 GN=BICD2 PE=3 SV=1	Notechis scutatus	816
A0A851RM46	BICD2 protein (Fragment) OS=Tychaedon coryphoeus OX=614051 GN=Bicd2 PE=3 SV=1	Tychaedon coryphoeus	846
A0A6J1UQ51	Protein bicaudal D homolog 2 isoform X1 OS=Notechis scutatus OX=8663 GN=BICD2 PE=3 SV=1	Notechis scutatus	846
A0A7L1FPF4	BICD2 protein (Fragment) OS=Sylvia borin OX=73324 GN=Bicd2 PE=3 SV=1	Sylvia borin	835
A0A6J1UQ72	Protein bicaudal D homolog 2 isoform X2 OS=Notechis scutatus OX=8663 GN=BICD2 PE=3 SV=1	Notechis scutatus	838
A0A8C9L9L6	BICD2 protein OS=Pavo cristatus OX=9049 PE=3 SV=1	Pavo cristatus	884
A0A7L0DG61	BICD2 protein (Fragment) OS=Rostratula benghalensis OX=118793 GN=Bicd2 PE=3 SV=1	Rostratula benghalensis	842
A0A670YC23	BICD cargo adaptor 2 OS=Pseudonaja textilis OX=8673 GN=BICD2 PE=3 SV=1	Pseudonaja textilis	816
A0A7L4BGV0	BICD2 protein (Fragment) OS=Phaetusa simplex OX=297813 GN=Bicd2 PE=3 SV=1	Phaetusa simplex	836
A0A6P9DLP9	Protein bicaudal D homolog 2 isoform X3 OS=Pantherophis guttatus OX=94885 GN=BICD2 PE=3 SV=1	Pantherophis guttatus	816
A0A851ULB5	BICD2 protein (Fragment) OS=Elachura formosa OX=1463973 GN=Bicd2 PE=3 SV=1	Elachura formosa	848
A0A851YG84	BICD2 protein (Fragment) OS=Halcyon senegalensis OX=342381 GN=Bicd2 PE=3 SV=1	Halcyon senegalensis	862
A0A7L3KXK6	BICD2 protein (Fragment) OS=Drymodes brunneopygia OX=626378 GN=Bicd2 PE=3 SV=1	Drymodes brunneopygia	846
A0A6P9DA55	Protein bicaudal D homolog 2 isoform X2 OS=Pantherophis guttatus OX=94885 GN=BICD2 PE=3 SV=1	Pantherophis guttatus	846
A0A7L1DHU9	BICD2 protein (Fragment) OS=Serilophus lunatus OX=239386 GN=Bicd2 PE=3 SV=1	Serilophus lunatus	846
A0A6P9DA43	Protein bicaudal D homolog 2 isoform X1 OS=Pantherophis guttatus OX=94885 GN=BICD2 PE=3 SV=1	Pantherophis guttatus	867
A0A7K8LDT9	BICD2 protein (Fragment) OS=Ardeotis kori OX=89386 GN=Bicd2 PE=3 SV=1	Ardeotis kori	832
A0A2F0BAV6	Protein bicaudal D 2 (Fragment) OS=Eschrichtius robustus OX=9764 GN=ESR_07144 PE=3 SV=1	Eschrichtius robustus	733
A0A384A5E9	Protein bicaudal D homolog 2 OS=Balaenoptera acutorostrata scammoni OX=310752 GN=BICD2 PE=3 SV=1	Balaenoptera acutorostrata scammoni	758
A0A7K4SUJ4	BICD2 protein (Fragment) OS=Burhinus bistriatus OX=240201 GN=Bicd2 PE=3 SV=1	Burhinus bistriatus	854
A0A7K8BAF9	BICD2 protein (Fragment) OS=Cnemophilus loriae OX=254448 GN=Bicd2 PE=3 SV=1	Cnemophilus loriae	842
A0A6P7Y9V9	LOW QUALITY PROTEIN: protein bicaudal D homolog 2 OS=Microcaecilia unicolor OX=1415580 GN=BICD2 PE=3 SV=1	Microcaecilia unicolor	811
A0A7K5UJ56	BICD2 protein (Fragment) OS=Cephalopterus ornatus OX=114276 GN=Bicd2 PE=3 SV=1	Cephalopterus ornatus	831
A0A6P8PKS9	Protein bicaudal D homolog 2 isoform X2 OS=Geotrypetes seraphini OX=260995 GN=BICD2 PE=3 SV=1	Geotrypetes seraphini	810
A0A6P8PE64	Protein bicaudal D homolog 2 isoform X1 OS=Geotrypetes seraphini OX=260995 GN=BICD2 PE=3 SV=1	Geotrypetes seraphini	840
A0A674GUP4	BICD cargo adaptor 2 OS=Taeniopygia guttata OX=59729 GN=BICD2 PE=3 SV=1	Taeniopygia guttata	836
A0A6P3H567	Protein bicaudal D homolog 2 OS=Bison bison bison OX=43346 GN=BICD2 PE=3 SV=1	Bison bison bison	731
A0A8C6YDG9	BICD cargo adaptor 2 OS=Naja naja OX=35670 GN=BICD2 PE=3 SV=1	Naja naja	846
A0A851NT65	BICD2 protein (Fragment) OS=Penelope pileata OX=1118817 GN=Bicd2 PE=3 SV=1	Penelope pileata	822
A0A667IJT3	BICD cargo adaptor 2 OS=Lynx canadensis OX=61383 PE=3 SV=1	Lynx canadensis	805
A0A8C0K8K0	BICD cargo adaptor 2 OS=Canis lupus dingo OX=286419 GN=BICD2 PE=3 SV=1	Canis lupus dingo	761
M3XLQ0	BICD cargo adaptor 2 OS=Latimeria chalumnae OX=7897 GN=BICD2 PE=3 SV=1	Latimeria chalumnae	844
A0A7L2N2P9	BICD2 protein (Fragment) OS=Rhadina sibilatrix OX=2585818 GN=Bicd2 PE=3 SV=1	Rhadina sibilatrix	847
A0A5N3XII4	BICD cargo adaptor 2 (Fragment) OS=Muntiacus reevesi OX=9886 GN=FD755_015212 PE=3 SV=1	Muntiacus reevesi	819
A0A6P6BT96	inositol-pentakisphosphate 2-kinase OS=Pteropus vampyrus OX=132908 GN=LOC105304687 PE=3 SV=1	Pteropus vampyrus	1350
A0A6P6BT97	inositol-pentakisphosphate 2-kinase OS=Pteropus vampyrus OX=132908 GN=LOC105304687 PE=3 SV=1	Pteropus vampyrus	1320
A0A8J0QVF1	Protein bicaudal D homolog 2 isoform X3 OS=Xenopus tropicalis OX=8364 GN=bicd2 PE=3 SV=1	Xenopus tropicalis	809
A0A8J6AMF4	Protein bicaudal D-2 (Fragment) OS=Galemys pyrenaicus OX=202257 GN=J0S82_009803 PE=3 SV=1	Galemys pyrenaicus	748
A0A8J0R3Z3	Protein bicaudal D homolog 2 isoform X1 OS=Xenopus tropicalis OX=8364 GN=bicd2 PE=3 SV=1	Xenopus tropicalis	839
A0A6I8QDJ1	Bicaudal D homolog 2 OS=Xenopus tropicalis OX=8364 GN=bicd2 PE=3 SV=1	Xenopus tropicalis	822
A0A7K7ZU90	BICD2 protein (Fragment) OS=Melanocharis versteri OX=254552 GN=Bicd2 PE=3 SV=1	Melanocharis versteri	830
A0A2U3Z3M6	Protein bicaudal D homolog 2 OS=Leptonychotes weddellii OX=9713 GN=BICD2 PE=3 SV=1	Leptonychotes weddellii	720
A0A7J8IH46	BICD cargo adaptor 2 OS=Rousettus aegyptiacus OX=9407 GN=HJG63_001475 PE=3 SV=1	Rousettus aegyptiacus	778
A0A6G1ALB8	BICD2 protein (Fragment) OS=Crocuta crocuta OX=9678 GN=Bicd2 PE=3 SV=1	Crocuta crocuta	757
A0A5N4C016	Protein bicaudal D-like protein 2 OS=Camelus dromedarius OX=9838 GN=Cadr_000030184 PE=3 SV=1	Camelus dromedarius	734
A0A674GJW1	BICD cargo adaptor 2 OS=Taeniopygia guttata OX=59729 GN=BICD2 PE=3 SV=1	Taeniopygia guttata	785
A0A5N4C025	Protein bicaudal D-like protein 2 OS=Camelus dromedarius OX=9838 GN=Cadr_000030184 PE=3 SV=1	Camelus dromedarius	762
A0A493SWN1	BICD cargo adaptor 2 OS=Anas platyrhynchos platyrhynchos OX=8840 GN=BICD2 PE=3 SV=1	Anas platyrhynchos platyrhynchos	821
A0A8J6EMU9	Protein bicaudal D homolog 2 OS=Eleutherodactylus coqui OX=57060 GN=GDO78_021895 PE=3 SV=1	Eleutherodactylus coqui	830
A0A8J6EMA6	BICD2 protein OS=Eleutherodactylus coqui OX=57060 GN=GDO78_021895 PE=3 SV=1	Eleutherodactylus coqui	846
A0A8C9N895	BICD cargo adaptor 2 OS=Serinus canaria OX=9135 GN=BICD2 PE=3 SV=1	Serinus canaria	815
G1PLU3	BICD cargo adaptor 2 OS=Myotis lucifugus OX=59463 GN=BICD2 PE=3 SV=1	Myotis lucifugus	755
S9X7Q6	Bicaudal D 2-like protein OS=Camelus ferus OX=419612 GN=CB1_000303008 PE=3 SV=1	Camelus ferus	875
A0A7K5DC89	BICD2 protein (Fragment) OS=Pachyramphus minor OX=369605 GN=Bicd2 PE=3 SV=1	Pachyramphus minor	806
A0A5N4C021	Protein bicaudal D-like protein 2 OS=Camelus dromedarius OX=9838 GN=Cadr_000030184 PE=3 SV=1	Camelus dromedarius	803
A0A673UQB8	inositol-pentakisphosphate 2-kinase OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	1257
A0A8J0U4F5	Protein bicaudal D homolog 2 isoform X4 OS=Xenopus laevis OX=8355 GN=bicd2.L PE=3 SV=1	Xenopus laevis	839
A0A8C5WL72	BICD cargo adaptor 2 OS=Leptobrachium leishanense OX=445787 GN=BICD2 PE=3 SV=1	Leptobrachium leishanense	838
A0A9D3RPM9	BICD cargo adaptor 2 OS=Anguilla anguilla OX=7936 GN=ANANG_G00224170 PE=3 SV=1	Anguilla anguilla	848
A0A7L2F142	BICD2 protein (Fragment) OS=Quiscalus mexicanus OX=64278 GN=Bicd2 PE=3 SV=1	Quiscalus mexicanus	796
A0A8J0U3W5	Protein bicaudal D homolog 2 isoform X1 OS=Xenopus laevis OX=8355 GN=bicd2.S PE=3 SV=1	Xenopus laevis	840
A0A8J1KM48	Protein bicaudal D homolog 2 isoform X2 OS=Xenopus laevis OX=8355 GN=bicd2.S PE=3 SV=1	Xenopus laevis	810
A0A8C4TI62	BICD cargo adaptor 2 OS=Erpetoichthys calabaricus OX=27687 GN=BICD2 PE=3 SV=1	Erpetoichthys calabaricus	805
A0A9D3Q4G7	BICD cargo adaptor 2 OS=Megalops atlanticus OX=7932 GN=MATL_G00106930 PE=3 SV=1	Megalops atlanticus	850
W5PEC2	BICD cargo adaptor 2 OS=Ovis aries OX=9940 GN=BICD2 PE=3 SV=1	Ovis aries	744
A0A8J1N102	Protein bicaudal D homolog 2 isoform X3 OS=Xenopus laevis OX=8355 GN=LOC108704030 PE=3 SV=1	Xenopus laevis	850
A0A8J1MYQ1	Protein bicaudal D homolog 2 isoform X1 OS=Xenopus laevis OX=8355 GN=LOC108704030 PE=3 SV=1	Xenopus laevis	880
A0A8J1MYF9	Protein bicaudal D homolog 2 isoform X2 OS=Xenopus laevis OX=8355 GN=LOC108704030 PE=3 SV=1	Xenopus laevis	863
A0A2I0LW33	Protein bicaudal D homolog 2 OS=Columba livia OX=8932 GN=A306_00010833 PE=3 SV=1	Columba livia	741
A0A7R5L733	Protein bicaudal D homolog 2 OS=Pipra filicauda OX=649802 GN=BICD2 PE=3 SV=1	Pipra filicauda	744
A0A8C3ICN8	BICD cargo adaptor 2 OS=Chrysemys picta bellii OX=8478 GN=BICD2 PE=3 SV=1	Chrysemys picta bellii	785
K7F5V3	BICD cargo adaptor 2 OS=Pelodiscus sinensis OX=13735 GN=BICD2 PE=3 SV=1	Pelodiscus sinensis	791
A0A7K8R3W4	BICD2 protein (Fragment) OS=Smithornis capensis OX=363769 GN=Bicd2_1 PE=3 SV=1	Smithornis capensis	751
A0A3Q0G064	Protein bicaudal D homolog 2 isoform X2 OS=Alligator sinensis OX=38654 GN=BICD2 PE=3 SV=1	Alligator sinensis	747
A0A8C3L829	BICD cargo adaptor 2 OS=Chrysolophus pictus OX=9089 PE=3 SV=1	Chrysolophus pictus	741
A0A3Q0FZB9	Protein bicaudal D homolog 2 isoform X1 OS=Alligator sinensis OX=38654 GN=BICD2 PE=3 SV=1	Alligator sinensis	777
A0A8C3L3H6	BICD cargo adaptor 2 OS=Chrysolophus pictus OX=9089 PE=3 SV=1	Chrysolophus pictus	749
A0A852EYC5	BICD2 protein (Fragment) OS=Vidua macroura OX=187451 GN=Bicd2 PE=3 SV=1	Vidua macroura	757
A0A0P7X939	Protein bicaudal D2-like OS=Scleropages formosus OX=113540 GN=Z043_110088 PE=3 SV=1	Scleropages formosus	849
A0A452I711	BICD cargo adaptor 2 OS=Gopherus agassizii OX=38772 PE=3 SV=1	Gopherus agassizii	796
A0A7L3WMI3	BICD2 protein (Fragment) OS=Atlantisia rogersi OX=2478892 GN=Bicd2 PE=3 SV=1	Atlantisia rogersi	755
A0A6I9HR42	Protein bicaudal D homolog 2 OS=Geospiza fortis OX=48883 GN=BICD2 PE=3 SV=1	Geospiza fortis	737
A0A8B9N6T4	BICD cargo adaptor 2 OS=Accipiter nisus OX=211598 PE=3 SV=1	Accipiter nisus	780
A0A8C0Z8P5	BICD cargo adaptor 2 OS=Cyanistes caeruleus OX=156563 GN=BICD2 PE=3 SV=1	Cyanistes caeruleus	774
A0A7L1YMI1	BICD2 protein (Fragment) OS=Scytalopus superciliaris OX=312124 GN=Bicd2 PE=3 SV=1	Scytalopus superciliaris	770
A0A8C0U5Z5	BICD cargo adaptor 2 OS=Cyanistes caeruleus OX=156563 GN=BICD2 PE=3 SV=1	Cyanistes caeruleus	790
A0A852NZQ8	BICD2 protein (Fragment) OS=Atrichornis clamosus OX=449594 GN=Bicd2 PE=3 SV=1	Atrichornis clamosus	765
A0A7L3PE35	BICD2 protein (Fragment) OS=Xiphorhynchus elegans OX=269412 GN=Bicd2 PE=3 SV=1	Xiphorhynchus elegans	772
A0A851ME33	BICD2 protein (Fragment) OS=Campylorhamphus procurvoides OX=190295 GN=Bicd2 PE=3 SV=1	Campylorhamphus procurvoides	772
A0A8C9F8M9	BICD cargo adaptor 2 OS=Pavo cristatus OX=9049 PE=3 SV=1	Pavo cristatus	808
A0A7K6CYY5	BICD2 protein (Fragment) OS=Origma solitaria OX=720586 GN=Bicd2 PE=3 SV=1	Origma solitaria	765
A0A2I0LW51	Protein bicaudal D homolog 2 OS=Columba livia OX=8932 GN=A306_00010833 PE=3 SV=1	Columba livia	726
A0A7L4MYD9	BICD2 protein (Fragment) OS=Ceyx cyanopectus OX=390723 GN=Bicd2 PE=3 SV=1	Ceyx cyanopectus	765
A0A7L0WXD0	BICD2 protein (Fragment) OS=Alectura lathami OX=81907 GN=Bicd2 PE=3 SV=1	Alectura lathami	767
A0A093BQC9	Protein bicaudal D 2 (Fragment) OS=Chaetura pelagica OX=8897 GN=M959_13916 PE=3 SV=1	Chaetura pelagica	765
M7AT93	Protein bicaudal D like protein 2 (Fragment) OS=Chelonia mydas OX=8469 GN=UY3_15022 PE=3 SV=1	Chelonia mydas	771
A0A7K8WDK2	BICD2 protein (Fragment) OS=Sclerurus mexicanus OX=265632 GN=Bicd2 PE=3 SV=1	Sclerurus mexicanus	772
A0A672IVT7	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	835
R0JVV8	Protein bicaudal D-like protein 2 (Fragment) OS=Anas platyrhynchos OX=8839 GN=Anapl_07223 PE=3 SV=1	Anas platyrhynchos	766
A0A7K7XVC9	BICD2 protein (Fragment) OS=Mohoua ochrocephala OX=874463 GN=Bicd2 PE=3 SV=1	Mohoua ochrocephala	773
A0A803Y3S5	BICD cargo adaptor 2 OS=Meleagris gallopavo OX=9103 PE=3 SV=1	Meleagris gallopavo	736
G1N201	Uncharacterized protein OS=Meleagris gallopavo OX=9103 PE=3 SV=2	Meleagris gallopavo	755
A0A7K9V6S3	BICD2 protein (Fragment) OS=Anseranas semipalmata OX=8851 GN=Bicd2 PE=3 SV=1	Anseranas semipalmata	767
A0A667Z639	Protein bicaudal D homolog 2-like OS=Myripristis murdjan OX=586833 GN=BICD2 PE=3 SV=1	Myripristis murdjan	847
A0A7L0K6T4	BICD2 protein (Fragment) OS=Chauna torquata OX=30388 GN=Bicd2 PE=3 SV=1	Chauna torquata	767
A0A852BMH0	BICD2 protein (Fragment) OS=Ramphastos sulfuratus OX=322582 GN=Bicd2 PE=3 SV=1	Ramphastos sulfuratus	776
A0A7K4REK2	BICD2 protein (Fragment) OS=Neopipo cinnamomea OX=456388 GN=Bicd2 PE=3 SV=1	Neopipo cinnamomea	772
A0A7L3L529	BICD2 protein (Fragment) OS=Turnix velox OX=2529409 GN=Bicd2 PE=3 SV=1	Turnix velox	777
A0A7K6PJM4	BICD2 protein (Fragment) OS=Ifrita kowaldi OX=461245 GN=Bicd2 PE=3 SV=1	Ifrita kowaldi	766
A0A7K9F1I3	BICD2 protein (Fragment) OS=Stercorarius parasiticus OX=54059 GN=Bicd2 PE=3 SV=1	Stercorarius parasiticus	780
A0A093Q300	Protein bicaudal D 2 (Fragment) OS=Manacus vitellinus OX=328815 GN=N305_01943 PE=3 SV=1	Manacus vitellinus	772
A0A667Z666	Protein bicaudal D homolog 2-like OS=Myripristis murdjan OX=586833 GN=BICD2 PE=3 SV=1	Myripristis murdjan	861
A0A672IV96	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	820
A0A7K6RDT7	BICD2 protein (Fragment) OS=Rhynochetos jubatus OX=54386 GN=Bicd2 PE=3 SV=1	Rhynochetos jubatus	756
A0A7L0XP44	BICD2 protein (Fragment) OS=Tyrannus savana OX=137541 GN=Bicd2 PE=3 SV=1	Tyrannus savana	771
A0A7L2SBG2	BICD2 protein (Fragment) OS=Mystacornis crossleyi OX=98133 GN=Bicd2 PE=3 SV=1	Mystacornis crossleyi	766
A0A7L3H5Q0	BICD2 protein (Fragment) OS=Buphagus erythrorhynchus OX=245048 GN=Bicd2 PE=3 SV=1	Buphagus erythrorhynchus	773
A0A851A180	BICD2 protein (Fragment) OS=Sula dactylatra OX=56068 GN=Bicd2 PE=3 SV=1	Sula dactylatra	771
A0A852EZC5	BICD2 protein (Fragment) OS=Peucedramus taeniatus OX=135441 GN=Bicd2 PE=3 SV=1	Peucedramus taeniatus	774
A0A091FQ25	Protein bicaudal D 2 (Fragment) OS=Cuculus canorus OX=55661 GN=N303_09288 PE=3 SV=1	Cuculus canorus	765
A0A850UCP7	BICD2 protein (Fragment) OS=Grus americana OX=9117 GN=Bicd2 PE=3 SV=1	Grus americana	782
A0A851FAA0	BICD2 protein (Fragment) OS=Pitta sordida OX=9163 GN=Bicd2 PE=3 SV=1	Pitta sordida	772
A0A7K9S411	BICD2 protein (Fragment) OS=Sterrhoptilus dennistouni OX=2585820 GN=Bicd2 PE=3 SV=1	Sterrhoptilus dennistouni	765
A0A091NFY7	Protein bicaudal D 2 (Fragment) OS=Acanthisitta chloris OX=57068 GN=N310_12439 PE=3 SV=1	Acanthisitta chloris	766
A0A8J7TIR7	BICD2 protein (Fragment) OS=Atractosteus spatula OX=7917 GN=Bicd2_0 PE=3 SV=1	Atractosteus spatula	1851
A0A091W1W4	Protein bicaudal D 2 (Fragment) OS=Opisthocomus hoazin OX=30419 GN=N306_13076 PE=3 SV=1	Opisthocomus hoazin	774
A0A6P7I9Z7	Protein bicaudal D homolog 2-like isoform X3 OS=Parambassis ranga OX=210632 GN=LOC114438112 PE=3 SV=1	Parambassis ranga	826
A0A6P7IJS9	Protein bicaudal D homolog 2-like isoform X1 OS=Parambassis ranga OX=210632 GN=LOC114438112 PE=3 SV=1	Parambassis ranga	866
A0A087R8C2	Protein bicaudal D 2 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_10554 PE=3 SV=1	Aptenodytes forsteri	782
A0A7L2I6Q2	BICD2 protein (Fragment) OS=Sagittarius serpentarius OX=56258 GN=Bicd2 PE=3 SV=1	Sagittarius serpentarius	773
A0A8J4P684	BICD2 protein (Fragment) OS=Aptenodytes patagonicus OX=9234 GN=FQA23_0014212 PE=3 SV=1	Aptenodytes patagonicus	782
A0A7K6QDK1	BICD2 protein (Fragment) OS=Climacteris rufus OX=47695 GN=Bicd2 PE=3 SV=1	Climacteris rufus	766
A0A4W6EQD2	Protein bicaudal D homolog 2-like OS=Lates calcarifer OX=8187 GN=BICD2 PE=3 SV=1	Lates calcarifer	836
A0A4W6EPH9	Protein bicaudal D homolog 2-like OS=Lates calcarifer OX=8187 GN=BICD2 PE=3 SV=1	Lates calcarifer	821
A0A7K8PXW2	BICD2 protein (Fragment) OS=Cochlearius cochlearius OX=110676 GN=Bicd2 PE=3 SV=1	Cochlearius cochlearius	777
A0A6P7IHI6	Protein bicaudal D homolog 2-like isoform X2 OS=Parambassis ranga OX=210632 GN=LOC114438112 PE=3 SV=1	Parambassis ranga	841
A0A7L2TLA8	BICD2 protein (Fragment) OS=Pomatostomus ruficeps OX=9176 GN=Bicd2 PE=3 SV=1	Pomatostomus ruficeps	766
A0A091INP0	Protein bicaudal D 2 (Fragment) OS=Egretta garzetta OX=188379 GN=Z169_11059 PE=3 SV=1	Egretta garzetta	777
A0A091HE94	Protein bicaudal D 2 (Fragment) OS=Buceros rhinoceros silvestris OX=175836 GN=N320_01964 PE=3 SV=1	Buceros rhinoceros silvestris	777
A0A7K5RTJ2	BICD2 protein (Fragment) OS=Lanius ludovicianus OX=28713 GN=Bicd2 PE=3 SV=1	Lanius ludovicianus	766
A0A7L0UHK5	BICD2 protein (Fragment) OS=Chordeiles acutipennis OX=118183 GN=Bicd2 PE=3 SV=1	Chordeiles acutipennis	778
A0A851LE23	BICD2 protein (Fragment) OS=Corythaeola cristata OX=103954 GN=Bicd2 PE=3 SV=1	Corythaeola cristata	776
A0A7L3CKN7	BICD2 protein (Fragment) OS=Pelecanoides urinatrix OX=37079 GN=Bicd2 PE=3 SV=1	Pelecanoides urinatrix	762
A0A672IV99	Protein bicaudal D homolog 2-like OS=Salarias fasciatus OX=181472 GN=LOC115408549 PE=3 SV=1	Salarias fasciatus	835
A0A851EMI2	BICD2 protein (Fragment) OS=Dryoscopus gambensis OX=85069 GN=Bicd2 PE=3 SV=1	Dryoscopus gambensis	766
A0A3P8TB97	BICD cargo adaptor 2 OS=Amphiprion percula OX=161767 GN=BICD2 PE=3 SV=1	Amphiprion percula	822
A0A3Q1B1T4	Protein bicaudal D homolog 2-like OS=Amphiprion ocellaris OX=80972 GN=BICD2 PE=3 SV=1	Amphiprion ocellaris	862
A0A7K7YQM6	BICD2 protein (Fragment) OS=Thryothorus ludovicianus OX=74200 GN=Bicd2 PE=3 SV=1	Thryothorus ludovicianus	765
A0A7K7TZD7	BICD2 protein (Fragment) OS=Ibidorhyncha struthersii OX=425643 GN=Bicd2 PE=3 SV=1	Ibidorhyncha struthersii	762
A0A3Q1EYF7	Protein bicaudal D homolog 2-like OS=Acanthochromis polyacanthus OX=80966 GN=BICD2 PE=3 SV=1	Acanthochromis polyacanthus	822
A0A3Q1HHE1	Protein bicaudal D homolog 2-like OS=Acanthochromis polyacanthus OX=80966 GN=BICD2 PE=3 SV=1	Acanthochromis polyacanthus	837
A0A7K6WUD9	BICD2 protein (Fragment) OS=Steatornis caripensis OX=48435 GN=Bicd2 PE=3 SV=1	Steatornis caripensis	762
A0A7L2JMG8	BICD2 protein (Fragment) OS=Cinclus mexicanus OX=161649 GN=Bicd2 PE=3 SV=1	Cinclus mexicanus	766
A0A7L3DHW8	BICD2 protein (Fragment) OS=Pluvianellus socialis OX=227228 GN=Bicd2 PE=3 SV=1	Pluvianellus socialis	778
A0A091EWE6	Protein bicaudal D 2 (Fragment) OS=Corvus brachyrhynchos OX=85066 GN=N302_07179 PE=3 SV=1	Corvus brachyrhynchos	766
A0A7L0GX98	BICD2 protein (Fragment) OS=Herpetotheres cachinnans OX=56343 GN=Bicd2 PE=3 SV=1	Herpetotheres cachinnans	770
A0A851SHE4	BICD2 protein (Fragment) OS=Certhia familiaris OX=73333 GN=Bicd2 PE=3 SV=1	Certhia familiaris	766
A0A7K5NC59	BICD2 protein (Fragment) OS=Chroicocephalus maculipennis OX=287016 GN=Bicd2 PE=3 SV=1	Chroicocephalus maculipennis	759
A0A7K8UIC4	BICD2 protein (Fragment) OS=Oceanites oceanicus OX=79653 GN=Bicd2 PE=3 SV=1	Oceanites oceanicus	762
A0A099ZMB3	Protein bicaudal D 2 (Fragment) OS=Tinamus guttatus OX=94827 GN=N309_01179 PE=3 SV=1	Tinamus guttatus	768
A0A7L3Z8Q4	BICD2 protein (Fragment) OS=Fregetta grallaria OX=79628 GN=Bicd2 PE=3 SV=1	Fregetta grallaria	762
A0A7L1H0N9	BICD2 protein (Fragment) OS=Indicator maculatus OX=545262 GN=Bicd2 PE=3 SV=1	Indicator maculatus	782
